Eviction ID,File Date,Neighborhoods - Analysis Boundaries
21,2012,Financial District/South Beach
101,1997,Marina
65,2002,Bernal Heights
2,2002,Presidio
193,2006,Mission
9,2010,Russian Hill
43,2019,Hayes Valley
167,2001,Sunset/Parkside
5,2024,Haight Ashbury
137,2000,Hayes Valley
91,2003,Castro/Upper Market
25,2022,Oceanview/Merced/Ingleside
8,2008,Glen Park
28,2001,Chinatown
59,2022,Sunset/Parkside
9,2023,Hayes Valley
78,2000,Inner Richmond
2,2003,Seacliff
1,2007,McLaren Park
32,2006,Inner Sunset
29,2005,Presidio Heights
23,1999,Chinatown
90,1998,Lakeshore
46,2004,Hayes Valley
1,2013,Japantown
59,2003,Haight Ashbury
104,2008,Tenderloin
94,2023,Mission
12,2024,West of Twin Peaks
42,2017,Marina
4,2023,Mission Bay
65,2006,Outer Richmond
82,2002,Outer Richmond
34,2010,Inner Sunset
42,2019,Excelsior
29,2020,Marina
39,2018,Noe Valley
14,2024,Excelsior
21,1998,Twin Peaks
5,2022,Glen Park
67,2016,South of Market
34,1997,Outer Mission
17,2002,Glen Park
13,2012,Visitacion Valley
72,1998,North Beach
1,2022,Presidio
29,2003,South of Market
22,1997,Portola
25,2023,Outer Richmond
19,2010,Western Addition
36,2013,Noe Valley
16,2019,Lone Mountain/USF
2,2015,Glen Park
50,1999,Financial District/South Beach
4,2020,Visitacion Valley
6,1998,
40,2021,Hayes Valley
53,2019,Russian Hill
38,2012,Inner Richmond
31,2019,Bernal Heights
44,1997,Potrero Hill
29,2022,Excelsior
12,2020,Western Addition
42,2003,Marina
17,2011,Western Addition
11,2021,West of Twin Peaks
26,2000,Chinatown
85,2013,North Beach
22,2021,Inner Richmond
51,2017,Nob Hill
95,2016,Outer Richmond
63,2016,Marina
15,2004,Portola
22,2005,North Beach
80,2001,Inner Richmond
36,2012,Hayes Valley
37,2016,Western Addition
164,2022,Tenderloin
126,2017,Sunset/Parkside
25,1998,Chinatown
53,2003,Bernal Heights
178,1998,Hayes Valley
74,2001,Bayview Hunters Point
14,2018,Portola
63,2002,Nob Hill
43,1999,Oceanview/Merced/Ingleside
3,2020,Japantown
39,2020,Nob Hill
21,2005,Lakeshore
7,2007,Potrero Hill
38,2013,Russian Hill
31,2000,Portola
37,2018,Russian Hill
24,2007,Outer Mission
45,2007,South of Market
22,2009,Russian Hill
30,1998,Visitacion Valley
13,2011,Glen Park
44,2000,South of Market
4,2013,
9,2009,Visitacion Valley
38,2017,Hayes Valley
8,2002,Chinatown
16,2007,Western Addition
1,2017,Treasure Island
11,2002,Financial District/South Beach
94,2000,Noe Valley
17,2003,Visitacion Valley
47,2016,Castro/Upper Market
2,2024,Portola
12,2009,Presidio Heights
18,2021,Haight Ashbury
54,2014,Noe Valley
112,2020,Mission
133,2015,Outer Richmond
34,2016,Visitacion Valley
61,2004,Nob Hill
67,2001,Marina
1,2008,Presidio
4,2021,Presidio Heights
16,2019,Financial District/South Beach
9,2012,Lakeshore
45,2000,Visitacion Valley
21,2006,Presidio Heights
29,2012,North Beach
128,2002,Sunset/Parkside
115,2000,Castro/Upper Market
36,2002,South of Market
47,2015,South of Market
7,2005,
65,2009,Sunset/Parkside
19,2012,Outer Mission
30,2010,Nob Hill
4,2023,Twin Peaks
68,2000,Oceanview/Merced/Ingleside
62,1998,Bayview Hunters Point
25,2004,Western Addition
58,2024,Financial District/South Beach
50,2010,Marina
173,2010,Lakeshore
32,2020,Hayes Valley
1,2021,McLaren Park
44,1999,Presidio Heights
44,2011,Hayes Valley
8,2016,Financial District/South Beach
12,2024,Marina
15,2019,Presidio Heights
6,2024,Potrero Hill
5,2009,Glen Park
243,2018,Tenderloin
90,1999,Noe Valley
41,2021,Nob Hill
66,2001,Noe Valley
50,2004,Bernal Heights
1,1997,Mission Bay
17,1997,Visitacion Valley
75,2005,Nob Hill
51,2007,Pacific Heights
17,2009,North Beach
58,2015,Haight Ashbury
130,2011,Mission
10,2023,Oceanview/Merced/Ingleside
29,2007,Oceanview/Merced/Ingleside
18,2019,Western Addition
109,1997,Hayes Valley
9,2008,Potrero Hill
11,2008,Visitacion Valley
30,1999,Glen Park
55,2000,Presidio Heights
4,2012,Glen Park
110,2013,Sunset/Parkside
18,2024,Nob Hill
42,2023,South of Market
39,2013,Lone Mountain/USF
4,2019,Potrero Hill
33,2010,Hayes Valley
19,2010,Twin Peaks
3,2020,Twin Peaks
32,2007,North Beach
34,2006,Western Addition
14,2021,Noe Valley
29,2002,Russian Hill
17,2023,West of Twin Peaks
1,2000,McLaren Park
23,2008,West of Twin Peaks
51,2003,Inner Sunset
47,2008,Bernal Heights
76,2009,Oceanview/Merced/Ingleside
25,2001,Potrero Hill
32,2016,West of Twin Peaks
44,2015,West of Twin Peaks
54,2011,Noe Valley
1,2021,Glen Park
12,2024,Russian Hill
34,2001,Presidio Heights
33,2012,Bernal Heights
20,2000,Glen Park
39,2016,Oceanview/Merced/Ingleside
29,2011,Excelsior
34,2003,Lone Mountain/USF
57,2017,Russian Hill
211,2011,Lakeshore
30,2006,Excelsior
31,2012,Noe Valley
63,2014,Bayview Hunters Point
158,1997,Sunset/Parkside
126,2001,Outer Richmond
74,2005,Sunset/Parkside
176,2015,Tenderloin
96,1997,Noe Valley
26,2002,Western Addition
13,2020,Russian Hill
45,2014,Bernal Heights
4,2024,Mission Bay
1,2008,Seacliff
18,2013,Potrero Hill
43,2000,West of Twin Peaks
25,2005,Bayview Hunters Point
21,2019,West of Twin Peaks
8,2023,Visitacion Valley
17,2020,Inner Richmond
36,2018,Hayes Valley
67,2016,Nob Hill
163,1997,Castro/Upper Market
191,2003,Tenderloin
120,2009,Mission
5,2011,Mission Bay
16,2013,Financial District/South Beach
33,2005,Oceanview/Merced/Ingleside
96,2017,Lakeshore
145,1997,Outer Richmond
69,2022,Nob Hill
16,2009,West of Twin Peaks
